time,data
2024/05/28 23:19:24.480940574,"[2, 20, 5, 1, -7, -5, -113, -50]"
2024/05/28 23:19:24.480953967,"[-10, 29, -2, -14, -14, -9, -122, -51]"
2024/05/28 23:19:24.495204366,"[-11, 10, 0, 3, -3, -5, -48, 2]"
2024/05/28 23:19:24.495218026,"[-4, -3, 7, 14, 6, -2, 26, 35]"
2024/05/28 23:19:24.503424385,"[0, 1, 5, 49, 11, -2, 74, 77]"
2024/05/28 23:19:24.503438134,"[-3, -13, 2, 23, 3, -2, 93, 29]"
2024/05/28 23:19:24.518624563,"[-5, -8, -3, 4, 4, 3, 87, 13]"
2024/05/28 23:19:24.518648744,"[2, 2, -4, -3, -2, -1, 105, -7]"
2024/05/28 23:19:24.519225169,"[-5, -18, -5, 3, 2, -7, 120, 20]"
2024/05/28 23:19:24.519239341,"[6, -8, -1, 44, -1, -3, 127, 30]"
2024/05/28 23:19:24.532677891,"[3, -14, 7, 106, 4, 3, 124, 12]"
2024/05/28 23:19:24.532693326,"[-9, -19, 0, -40, 3, 8, 127, 16]"
2024/05/28 23:19:24.540849099,"[2, 0, 4, -50, 8, 0, 106, 20]"
2024/05/28 23:19:24.540872599,"[3, 10, -1, -2, -2, -5, 38, 15]"
2024/05/28 23:19:24.555223184,"[-5, -8, -8, -86, -1, -7, 56, 3]"
2024/05/28 23:19:24.555238715,"[0, -7, -3, 7, 0, 2, 6, 1]"
2024/05/28 23:19:24.571013448,"[1, 8, 6, -4, -1, 3, -34, -5]"
2024/05/28 23:19:24.571028062,"[1, -6, 4, -52, -1, 5, -61, 16]"
2024/05/28 23:19:24.578442045,"[2, 3, -2, -24, -4, -2, -21, 2]"
2024/05/28 23:19:24.578457093,"[3, -9, -1, -4, -2, -1, -24, -11]"
2024/05/28 23:19:24.579235143,"[1, -3, -8, -68, -4, 0, -58, -11]"
2024/05/28 23:19:24.579248806,"[4, 4, -7, 23, 8, 2, -43, 4]"
2024/05/28 23:19:24.592709819,"[-3, -3, 3, 71, 5, 3, -96, 7]"
2024/05/28 23:19:24.592725455,"[-1, 4, 11, 54, -5, 1, -91, 7]"
2024/05/28 23:19:24.600954096,"[1, -1, 9, 86, 0, -1, -97, 2]"
2024/05/28 23:19:24.600968252,"[3, 8, 5, -6, 5, 1, -33, 12]"
2024/05/28 23:19:24.615804314,"[1, 4, 5, -9, -4, -4, -55, 1]"
2024/05/28 23:19:24.615823521,"[-7, -8, -7, -22, 3, -2, -38, -2]"
2024/05/28 23:19:24.623473594,"[-6, -10, -7, -15, 1, -1, -54, -15]"
2024/05/28 23:19:24.623491903,"[0, 5, 0, 22, -2, -6, -24, 5]"
2024/05/28 23:19:24.638384535,"[0, 7, -5, 35, -1, -2, -14, 13]"
2024/05/28 23:19:24.638404247,"[3, 6, 1, 51, -4, -4, -18, 15]"
2024/05/28 23:19:24.639232259,"[5, 5, 0, 42, 1, 0, -17, 8]"
2024/05/28 23:19:24.639246487,"[-2, -1, -5, -14, 3, -6, 2, -2]"
2024/05/28 23:19:24.652651438,"[-4, 0, -6, 8, 0, 0, 9, -3]"
2024/05/28 23:19:24.652666140,"[-2, 0, 0, -29, 0, 1, -1, -4]"
2024/05/28 23:19:24.661733194,"[3, 5, 1, -18, -6, 4, -16, -12]"
2024/05/28 23:19:24.661754293,"[2, -6, 6, -14, -2, 1, -20, -7]"
2024/05/28 23:19:24.675383953,"[1, -5, -3, -19, -1, 2, 10, -6]"
